"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.387528000E-2,-2.193750143E0,1.012500048E0,-5.126250076E1,5.131940842E1
3.387528000E-2,-3.450000048E0,1.125000045E-1,-5.238750076E1,5.250109897E1
4.387528000E-2,-2.793750048E0,5.437500477E-1,-5.289375305E1,5.297027294E1
5.387528000E-2,-2.212500095E0,9.750000238E-1,-5.321250153E1,5.326740185E1
6.387528000E-2,-1.893750072E0,8.250000477E-1,-5.296875381E1,5.300901617E1
7.387528000E-2,-2.175000191E0,3.750000000E-1,-5.336250305E1,5.340812656E1
8.387528000E-2,-2.700000048E0,4.875000119E-1,-5.349375153E1,5.356406546E1
9.387528000E-2,-2.381250143E0,7.125000358E-1,-5.355000305E1,5.360765650E1
1.038752800E-1,-2.625000000E0,7.312500477E-1,-5.370000076E1,5.376909367E1
1.138752800E-1,-2.831250191E0,7.687500119E-1,-5.358750153E1,5.366774892E1
1.238752800E-1,-2.887500048E0,8.250000477E-1,-5.379375076E1,5.387750832E1
1.338752800E-1,-3.543750048E0,6.187500358E-1,-5.383125305E1,5.395131899E1
1.438752800E-1,-3.600000143E0,6.562500000E-1,-5.407500076E1,5.419867501E1
1.538752800E-1,-3.656250238E0,1.275000095E0,-5.398125076E1,5.411995219E1
1.638752800E-1,-3.543750048E0,1.031250000E0,-5.353125381E1,5.365833370E1
1.738752800E-1,-3.525000095E0,8.437500596E-1,-5.366250229E1,5.378477193E1
1.838752800E-1,-3.675000191E0,8.437500596E-1,-5.377500153E1,5.390703414E1
1.938752800E-1,-3.543750048E0,1.275000095E0,-5.381250381E1,5.394413181E1
2.038752800E-1,-3.918750048E0,1.312500000E0,-5.381250381E1,5.397096279E1
2.138752800E-1,-3.487500191E0,1.500000000E0,-5.366250229E1,5.379662452E1
2.238752800E-1,-3.393750191E0,1.687500119E0,-5.373750305E1,5.387099805E1
2.338752800E-1,-3.675000191E0,1.443750024E0,-5.356875229E1,5.371406950E1
2.438752800E-1,-3.525000095E0,1.725000024E0,-5.411250305E1,5.425462411E1
2.538752800E-1,-3.675000191E0,1.762500048E0,-5.416875076E1,5.432187029E1
2.638752800E-1,-3.168750048E0,1.856250048E0,-5.405625153E1,5.418085428E1
2.738752800E-1,-2.906250000E0,1.575000048E0,-5.424375153E1,5.434437868E1
